timestamp,person_uri,label_clean,search_query,method_id,threshold,accepted,chosen_qid,chosen_label,chosen_description,score,score_reasons,error
2026-05-29T13:51:21.120804+00:00,http://example.org/ontology#adam_jaworski_syn_marcina,Adam Jaworski,Adam Jaworski,heuristic_rules,50.0,False,Q100153254,Adam Jaworski,[occupation:Schauspieler; Theaterdirektor] [dates:1875-1879] [archive:Polskie Archiwum Biograficzne],22.8,Pozycja w wynikach wyszukiwania: 2 | P31: człowiek (Q5),
2026-05-29T13:51:23.390097+00:00,http://example.org/ontology#adam_jaworski_syn_marcina,Adam Jaworski,Adam Jaworski,fuzzy_rerank,50.0,False,Q100153255,Adam Jaworski,,24.0,Pozycja w wynikach wyszukiwania: 1 | P31: człowiek (Q5),
2026-05-29T13:51:25.508202+00:00,http://example.org/ontology#adam_jaworski_syn_marcina,Adam Jaworski,Adam Jaworski,phonetic_rerank,50.0,False,Q100153255,Adam Jaworski,,24.0,Pozycja w wynikach wyszukiwania: 1 | P31: człowiek (Q5),
2026-05-29T13:51:27.193782+00:00,http://example.org/ontology#adam_marcinowski_syn_wojciecha,Adam Marcinowski,Adam Marcinowski,heuristic_rules,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:51:28.466517+00:00,http://example.org/ontology#adam_marcinowski_syn_wojciecha,Adam Marcinowski,Adam Marcinowski,fuzzy_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:51:29.762692+00:00,http://example.org/ontology#adam_marcinowski_syn_wojciecha,Adam Marcinowski,Adam Marcinowski,phonetic_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:51:31.345463+00:00,http://example.org/ontology#adam_nowakiewicz_syn_jana,Adam Nowakiewicz,Adam Nowakiewicz,heuristic_rules,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:51:32.586362+00:00,http://example.org/ontology#adam_nowakiewicz_syn_jana,Adam Nowakiewicz,Adam Nowakiewicz,fuzzy_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:51:33.809763+00:00,http://example.org/ontology#adam_nowakiewicz_syn_jana,Adam Nowakiewicz,Adam Nowakiewicz,phonetic_rerank,50.0,False,,,,,brak_kandydatow_po_filtrowaniu,
2026-05-29T13:51:35.394043+00:00,http://example.org/ontology#adam_ojciec_antoni_kownacki,Adam Kownacki,Adam Kownacki,heuristic_rules,50.0,False,Q19745920,Adam Kownacki,American boxer,24.0,Pozycja w wynikach wyszukiwania: 1 | P31: człowiek (Q5),
